setting,n,model,metric,index,truth,estimate_mean,estimate_sd,bias,abs_bias,rmse,mae,mcse_mean,n_rep,n_obs,n_missing,source_files
heteroskedastic,1000,ordered_logit,wasserstein_unit,1,0.6048799999999999,0.20330539116480675,0.08742957829042111,-0.4015746088351931,0.4015746088351931,0.4108888636962297,0.4015746088351931,0.008742957829042112,100,100,0,20
heteroskedastic,1000,empirical,category_effect,4,-0.31923,-0.32242968258097654,0.026682438957817765,-0.003199682580976596,0.003199682580976596,0.026740811353982874,0.02167628440841404,0.0026682438957817767,100,100,0,20
heteroskedastic,1000,model_free_flow,category_effect,4,-0.31923,-0.31328967718665046,0.0270457582137865,0.005940322813349527,0.005940322813349527,0.027558043147361072,0.022469456431796875,0.00270457582137865,100,100,0,20
heteroskedastic,1000,structured_flow,category_effect,4,-0.31923,-0.19901240443630566,0.028309306752333747,0.12021759556369435,0.12021759556369435,0.12347336945036261,0.12021759556369435,0.0028309306752333746,100,100,0,20
heteroskedastic,1000,ordered_probit,category_effect,4,-0.31923,0.0001725342555605727,0.0014424714895157954,0.3194025342555606,0.3194025342555606,0.31940575887988093,0.3194025342555606,0.00014424714895157955,100,100,0,20
heteroskedastic,1000,ordered_logit,category_effect,4,-0.31923,0.0008981785897210587,0.0021834407000125284,0.32012817858972104,0.32012817858972104,0.32013555014451284,0.32012817858972104,0.00021834407000125285,100,100,0,20
heteroskedastic,1000,ordered_probit,cumulative_ge_effect,2,-0.14665,0.033085013525666084,0.018175460664678466,0.17973501352566607,0.17973501352566607,0.18064251709866344,0.17973501352566607,0.0018175460664678466,100,100,0,20
heteroskedastic,1000,ordered_probit,cumulative_ge_effect,3,-0.139,0.03652269681169084,0.020050270579478894,0.17552269681169086,0.17552269681169086,0.17665279593840558,0.17552269681169086,0.0020050270579478895,100,100,0,20
heteroskedastic,1000,ordered_probit,cumulative_ge_effect,4,-0.06203,0.04579070514619779,0.02521004717000706,0.10782070514619779,0.10782070514619779,0.11070002471433402,0.10782070514619779,0.002521004717000706,100,100,0,20
heteroskedastic,1000,ordered_probit,cumulative_ge_effect,5,0.2572,0.04561817089063719,0.0253811853140081,-0.21158182910936282,0.21158182910936282,0.2130836289617956,0.21158182910936282,0.0025381185314008103,100,100,0,20
heteroskedastic,1000,ordered_probit,latent_beta,0,,0.1347714183684936,0.07463740434303386,,,,,0.007463740434303386,100,100,0,20
heteroskedastic,1000,ordered_probit,latent_beta,1,,0.24513956530418402,0.07588893270423111,,,,,0.007588893270423111,100,100,0,20
heteroskedastic,1000,ordered_probit,latent_beta,2,,-0.2910605687212128,0.03799842668425699,,,,,0.0037998426684256992,100,100,0,20
heteroskedastic,1000,ordered_probit,latent_beta,3,,0.1492376291399841,0.03583684067305944,,,,,0.0035836840673059444,100,100,0,20
heteroskedastic,1000,ordered_probit,latent_beta,4,,-0.12942202659535046,0.03642804802299727,,,,,0.003642804802299727,100,100,0,20
heteroskedastic,1000,ordered_probit,wasserstein_unit,1,0.6048799999999999,0.16542949728294354,0.08013542681030231,-0.4394505027170563,0.4394505027170563,0.44662536213480103,0.4394505027170563,0.00801354268103023,100,100,0,20
